track_id,track_name,artist_name,artist_uri,album_name,duration_ms,release_date,popularity,explicit,album_cover_image,genres
1rHPk2p3MQTh2wloo3P9zE,Perfect Combi,King Promise,spotify:artist:4tIKaxUmpXzshok2yCnwdf,Perfect Combi & Naana,181063,2023-10-26,59,False,https://i.scdn.co/image/ab67616d0000b2738bad913aa11d958fb7239077,"afrobeats, ghanaian alternative, ghanaian pop"
35MU2MEhQMw0NhXZztAP9m,BLOOD ON THE DANCE FLOOR (feat. Bloody Civilian and Wale),ODUMODUBLVCK,spotify:artist:3LOm0AZjpwVQebvkyanjDy,EZIOKWU,233571,2023-10-06,62,True,https://i.scdn.co/image/ab67616d0000b273b6213080ecfeca18ff84fd9c,"afro drill, afrobeats, nigerian pop"
6WZVnqQ9OZRSGZmXyHHlV3,Ojapiano,KCee,spotify:artist:7KiINhQdLAupkwvJ0EelGG,Ojapiano,168421,2023-06-03,57,False,https://i.scdn.co/image/ab67616d0000b2739d4ae39d0bca411fe0dc2edf,"afrobeats, afropop, igbo pop, nigerian pop"
2kaH2Z8ezDUKf6fNw250rZ,UNAVAILABLE (feat. Musa Keys),Davido,spotify:artist:0Y3agQaa6g2r0YmHPOO9rh,Timeless,169911,2023-03-30,69,True,https://i.scdn.co/image/ab67616d0000b273adfc1ac5836f96adac580271,"afrobeats, afropop, azontobeats, ghanaian hip hop, nigerian pop"
0Em4eY10PGyiBlmjWxcav3,Party No Dey Stop,Adekunle Gold,spotify:artist:2IK173RXLiCSQ8fhDlAb3s,Party No Dey Stop,168857,2023-03-14,55,False,https://i.scdn.co/image/ab67616d0000b273a65faecabba47185c9d1da41,"afrobeats, afropop, alte, azontobeats, nigerian hip hop, nigerian pop"
5ZtK8XAVnoaGdBXZWCEVCY,Lonely At The Top,Asake,spotify:artist:3a1tBryiczPAZpgoZN9Rzg,Work Of Art,157714,2023-06-15,70,False,https://i.scdn.co/image/ab67616d0000b2737e2b5827ffc185e44c3e6ef0,"afrobeats, nigerian pop"
7FB5261Iv3MRbSz13HYP5l,Different Pattern,Seyi Vibez,spotify:artist:4zmZ8lVLzGc84S4v2B1rLx,NAHAMciaga,123333,2023-12-08,64,False,https://i.scdn.co/image/ab67616d0000b273ce01db7d2628670751b90401,"afrobeats, nigerian pop"
1oq33HJBs0rDmjjZ2rVFyG,Terminator,King Promise,spotify:artist:4tIKaxUmpXzshok2yCnwdf,Terminator,234024,2023-05-05,60,False,https://i.scdn.co/image/ab67616d0000b2733ddfe04bd28abd451fa26b44,"afrobeats, ghanaian alternative, ghanaian pop"
4zqRu31aWCiHeYMw9GptOO,Everything,Victony,spotify:artist:1E5hfn5BduN2nnoZCJmUVG,Everything,166958,2024-02-09,66,False,https://i.scdn.co/image/ab67616d0000b2735718c932d2e0964df142e7ee,"afrobeats, nigerian pop"
5zq5fYXIE7X842DD5HBiiB,Talibans II,Burna Boy,spotify:artist:3wcj11K77LjEY1PkEazffa,Talibans II,176453,2023-07-20,54,True,https://i.scdn.co/image/ab67616d0000b273a6192f2c4d7933a9a1cf6e04,"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop"
7CkDjDtJjCZA7AW7RBvrvC,OHEMA (with Crayon & Bella Shmurda),Victony,spotify:artist:1E5hfn5BduN2nnoZCJmUVG,OHEMA (with Crayon & Bella Shmurda),205714,2023-11-21,63,True,https://i.scdn.co/image/ab67616d0000b273b14174d083bfe96e076b7f2e,"afrobeats, nigerian pop"
